1	2	102
2	1	119
3	1	118
4	3	105
5	2	106
6	4	107
7	5	108
8	2	109
9	6	110
10	2	111
11	1	112
12	4	113
13	3	114
14	2	115
15	1	116
16	4	117
17	2	104
18	3	103
19	3	120
20	1	121
21	1	101
22	2	102
23	5	119
24	6	118
25	2	105
26	1	106
27	4	107
28	2	108
29	3	109
30	4	110
31	1	111
32	2	112
33	1	113
34	1	114
35	4	115
36	2	116
37	5	117
38	3	104
39	4	103
40	5	120
41	6	121
42	1	101
43	5	119
44	1	120
45	3	103
46	2	106
47	1	107
48	3	108
49	2	109
50	4	110
51	2	111
52	3	112
53	4	113
54	4	114
55	2	115
56	1	116
57	2	117
58	3	104
59	4	105
60	5	118
61	6	121
62	4	101
63	3	102
64	2	119
65	4	120
66	1	103
67	2	106
68	4	107
69	5	108
70	3	109
71	3	110
72	4	111
73	2	112
74	1	113
75	2	114
76	3	115
77	4	116
78	3	117
79	2	104
80	1	105
81	1	118
82	3	121
83	2	101
84	4	102
85	5	120
86	2	121
87	6	118
88	2	107
89	1	108
90	4	109
91	3	110
92	2	111
93	1	112
94	6	113
95	1	114
96	5	115
97	1	116
98	3	117
99	2	104
100	1	105
101	3	106
102	3	103
103	4	101
104	2	102
105	1	119
106	2	120
107	3	121
108	4	118
109	3	107
110	2	108
111	1	109
112	1	110
113	4	111
114	3	112
115	2	113
116	1	114
117	4	115
118	2	116
119	3	117
120	3	104
121	1	105
122	1	106
123	2	103
124	5	101
125	3	102
126	3	119
127	4	121
128	5	101
129	1	103
130	2	108
131	3	109
132	3	110
133	4	111
134	4	112
135	2	113
136	3	114
137	4	115
138	5	116
139	3	117
140	4	104
141	5	105
142	2	106
143	1	107
144	4	118
145	2	102
146	3	119
147	3	120
148	1	121
149	1	101
150	2	103
151	5	108
152	6	109
153	2	110
154	1	111
155	4	112
156	2	113
157	3	114
158	4	115
159	1	116
160	2	117
161	1	104
162	3	105
163	4	106
164	1	107
165	2	118
166	3	102
167	4	119
168	3	120
169	4	101
170	1	102
171	3	118
172	2	109
173	1	110
174	1	111
175	3	112
176	2	113
177	4	114
178	5	115
179	2	116
180	6	117
181	2	104
182	1	105
183	4	106
184	3	107
185	4	108
186	5	103
187	6	119
188	3	120
189	2	121
190	1	101
191	3	102
192	2	118
193	4	109
194	2	110
195	3	111
196	4	112
197	4	113
198	2	114
199	1	115
200	2	116
201	3	117
202	4	104
203	5	105
204	6	106
205	4	107
206	3	108
